Setting,Gamma,Delta,Regime,Rank,Feature,Lambda
gamma_1.0_delta_2.0,1.0,2.0,Bear,2,Normalized_ATR,3.192514
gamma_1.0_delta_2.0,1.0,2.0,Bear,3,Volatility_20,3.408805
gamma_1.0_delta_2.0,1.0,2.0,Bear,4,Close_to_EMA_50,3.767786
gamma_1.0_delta_2.0,1.0,2.0,Bear,5,Bollinger_Width,4.107433
gamma_1.0_delta_2.0,1.0,2.0,Crisis,1,Normalized_ATR,1.968286
gamma_1.0_delta_2.0,1.0,2.0,Crisis,2,Close_to_EMA_10,3.210423
gamma_1.0_delta_2.0,1.0,2.0,Crisis,3,Daily_Return,4.004589
gamma_1.0_delta_2.0,1.0,2.0,Crisis,4,Close_to_SMA_10,6.073463
gamma_1.0_delta_2.0,1.0,2.0,Crisis,5,OBV_Change,6.445743
gamma_2.0_delta_0.5,2.0,0.5,Recovery,1,Normalized_ATR,0.032605
gamma_2.0_delta_0.5,2.0,0.5,Recovery,2,ATR_14,0.035751
gamma_2.0_delta_0.5,2.0,0.5,Recovery,3,OBV_Change,0.036422
gamma_2.0_delta_0.5,2.0,0.5,Recovery,4,RSI_14,0.038834
gamma_2.0_delta_0.5,2.0,0.5,Recovery,5,Momentum_10,0.041728
gamma_2.0_delta_0.5,2.0,0.5,Bull,1,Normalized_ATR,4.511918
gamma_2.0_delta_0.5,2.0,0.5,Bull,2,ATR_14,5.690377
gamma_2.0_delta_0.5,2.0,0.5,Bull,3,Close_to_EMA_20,6.379923
gamma_2.0_delta_0.5,2.0,0.5,Bull,4,Volume_Ratio,6.387212
gamma_2.0_delta_0.5,2.0,0.5,Bull,5,Close_to_SMA_10,6.551106
gamma_2.0_delta_0.5,2.0,0.5,Bear,1,ATR_14,2.745199
gamma_2.0_delta_0.5,2.0,0.5,Bear,2,Normalized_ATR,2.879018
gamma_2.0_delta_0.5,2.0,0.5,Bear,3,Volatility_20,2.926589
gamma_2.0_delta_0.5,2.0,0.5,Bear,4,Close_to_EMA_50,3.000771
gamma_2.0_delta_0.5,2.0,0.5,Bear,5,Bollinger_Width,3.066224
gamma_2.0_delta_0.5,2.0,0.5,Crisis,1,Normalized_ATR,3.216884
gamma_2.0_delta_0.5,2.0,0.5,Crisis,2,Close_to_EMA_10,3.635414
gamma_2.0_delta_0.5,2.0,0.5,Crisis,3,Daily_Return,3.841959
gamma_2.0_delta_0.5,2.0,0.5,Crisis,4,Close_to_SMA_10,4.26356
gamma_2.0_delta_0.5,2.0,0.5,Crisis,5,OBV_Change,4.327445
gamma_2.0_delta_1.0,2.0,1.0,Recovery,1,Normalized_ATR,0.03613
gamma_2.0_delta_1.0,2.0,1.0,Recovery,2,ATR_14,0.043439
gamma_2.0_delta_1.0,2.0,1.0,Recovery,3,OBV_Change,0.045083
gamma_2.0_delta_1.0,2.0,1.0,Recovery,4,RSI_14,0.051253
gamma_2.0_delta_1.0,2.0,1.0,Recovery,5,Momentum_10,0.059177
gamma_2.0_delta_1.0,2.0,1.0,Bull,1,Normalized_ATR,4.509663
gamma_2.0_delta_1.0,2.0,1.0,Bull,2,ATR_14,7.173051
gamma_2.0_delta_1.0,2.0,1.0,Bull,3,Close_to_EMA_20,9.016804
gamma_2.0_delta_1.0,2.0,1.0,Bull,4,Volume_Ratio,9.03742
gamma_2.0_delta_1.0,2.0,1.0,Bull,5,Close_to_SMA_10,9.507165
gamma_2.0_delta_1.0,2.0,1.0,Bear,1,ATR_14,3.135701
gamma_2.0_delta_1.0,2.0,1.0,Bear,2,Normalized_ATR,3.448864
gamma_2.0_delta_1.0,2.0,1.0,Bear,3,Volatility_20,3.563779
gamma_2.0_delta_1.0,2.0,1.0,Bear,4,Close_to_EMA_50,3.746733
gamma_2.0_delta_1.0,2.0,1.0,Bear,5,Bollinger_Width,3.911964
gamma_2.0_delta_1.0,2.0,1.0,Crisis,1,Normalized_ATR,3.303466
gamma_2.0_delta_1.0,2.0,1.0,Crisis,2,Close_to_EMA_10,4.218973
gamma_2.0_delta_1.0,2.0,1.0,Crisis,3,Daily_Return,4.711993
gamma_2.0_delta_1.0,2.0,1.0,Crisis,4,Close_to_SMA_10,5.802884
gamma_2.0_delta_1.0,2.0,1.0,Crisis,5,OBV_Change,5.978086
gamma_2.0_delta_2.0,2.0,2.0,Recovery,1,Normalized_ATR,0.044363
gamma_2.0_delta_2.0,2.0,2.0,Recovery,2,ATR_14,0.064128
gamma_2.0_delta_2.0,2.0,2.0,Recovery,3,OBV_Change,0.069074
gamma_2.0_delta_2.0,2.0,2.0,Recovery,4,RSI_14,0.089276
gamma_2.0_delta_2.0,2.0,2.0,Recovery,5,Momentum_10,0.119012
gamma_2.0_delta_2.0,2.0,2.0,Bull,1,Normalized_ATR,4.505158
gamma_2.0_delta_2.0,2.0,2.0,Bull,2,ATR_14,11.398025
gamma_2.0_delta_2.0,2.0,2.0,Bull,3,Close_to_EMA_20,18.010555
gamma_2.0_delta_2.0,2.0,2.0,Bull,4,Volume_Ratio,18.093004
gamma_2.0_delta_2.0,2.0,2.0,Bull,5,Close_to_SMA_10,20.022756
gamma_2.0_delta_2.0,2.0,2.0,Bear,1,ATR_14,4.091255
gamma_2.0_delta_2.0,2.0,2.0,Bear,2,Normalized_ATR,4.949248
gamma_2.0_delta_2.0,2.0,2.0,Bear,3,Volatility_20,5.284558
gamma_2.0_delta_2.0,2.0,2.0,Bear,4,Close_to_EMA_50,5.841073
gamma_2.0_delta_2.0,2.0,2.0,Bear,5,Bollinger_Width,6.367616
gamma_2.0_delta_2.0,2.0,2.0,Crisis,1,Normalized_ATR,3.483684
gamma_2.0_delta_2.0,2.0,2.0,Crisis,2,Close_to_EMA_10,5.682149
gamma_2.0_delta_2.0,2.0,2.0,Crisis,3,Daily_Return,7.08775
gamma_2.0_delta_2.0,2.0,2.0,Crisis,4,Close_to_SMA_10,10.749465
gamma_2.0_delta_2.0,2.0,2.0,Crisis,5,OBV_Change,11.408365
