Model,Feature,Posterior_Mean_Coefficient,Lower_95,Upper_95,Selected,Abs_Coefficient,Rank,Regime
Regime Bayesian LASSO - Recovery,Volatility_20,0.031565406456331865,-0.019161301944831798,0.0782893720454316,False,0.031565406456331865,14,Recovery
Regime Bayesian LASSO - Recovery,ROC_10,-0.02665020145705364,-0.09240302276871491,0.04756044392049786,False,0.02665020145705364,15,Recovery
Regime Bayesian LASSO - Recovery,MACD,-0.014237844731513669,-1.1076496503673576,1.3949633534382686,False,0.014237844731513669,16,Recovery
Regime Bayesian LASSO - Recovery,Normalized_ATR,0.005425404197224024,-0.03640193810057576,0.05039567674268819,False,0.005425404197224024,17,Recovery
Regime Bayesian LASSO - Recovery,OBV_Change,-0.004365561011121773,-0.02716019954346215,0.01726010742294034,False,0.004365561011121773,18,Recovery
Regime Bayesian LASSO - Recovery,Bollinger_Position,0.003513774774997399,-0.058509679641178834,0.06072438906343614,False,0.003513774774997399,19,Recovery
Regime Bayesian LASSO - Recovery,Close_to_EMA_50,0.0026490044301099923,-0.12771411005013614,0.1285892268697405,False,0.0026490044301099923,20,Recovery
Regime Bayesian LASSO - Recovery,Volume_Ratio,-0.001341090303834441,-0.024600346286981708,0.027943406245028887,False,0.001341090303834441,21,Recovery
Regime Bayesian LASSO - Bull,Daily_Return,1.4409250648699685,0.6279142018848556,2.4447052862353646,True,1.4409250648699685,1,Bull
Regime Bayesian LASSO - Bull,Log_Return,-1.418835707301397,-2.418409432459755,-0.6023906073732792,True,1.418835707301397,2,Bull
Regime Bayesian LASSO - Bull,Close_to_EMA_20,1.1706915580814603,0.6250372860308603,1.8315364484668988,True,1.1706915580814603,3,Bull
Regime Bayesian LASSO - Bull,Close_to_EMA_10,-0.5618483408438607,-0.9380692485472315,-0.16853219712786716,True,0.5618483408438607,4,Bull
Regime Bayesian LASSO - Bull,Close_to_SMA_20,-0.36969808493468054,-0.664733436226678,-0.11052864473276532,True,0.36969808493468054,5,Bull
Regime Bayesian LASSO - Bull,Close_to_EMA_50,-0.19085112766275042,-0.34156137424674654,-0.03460838724257567,False,0.19085112766275042,6,Bull
