RMSE,MAE,R2,Direction_Accuracy,Model,Case,Samples_Per_Regime,Replication
1.654442,1.310807,0.059697,0.5851,Standard Bayesian LASSO,Strong,10000,9
1.224079,0.943235,0.485266,0.7601,Proposed Prior,Strong,10000,9
1.07308,0.850969,0.269187,0.6842,Classical LASSO,Weak,5000,10
1.072513,0.850641,0.269958,0.6846,Standard Bayesian LASSO,Weak,5000,10
1.07122,0.85012,0.271718,0.685,Proposed Prior,Weak,5000,10
1.08855,0.867177,0.243896,0.6637,Classical LASSO,Weak,10000,10
1.088716,0.866784,0.243665,0.6652,Standard Bayesian LASSO,Weak,10000,10
1.084253,0.862633,0.249853,0.6677,Proposed Prior,Weak,10000,10
1.634977,1.294755,0.069785,0.5844,Classical LASSO,Strong,5000,10
1.636092,1.295728,0.068515,0.5848,Standard Bayesian LASSO,Strong,5000,10
1.210206,0.932228,0.490342,0.7566,Proposed Prior,Strong,5000,10
1.662702,1.31385,0.063395,0.587,Classical LASSO,Strong,10000,10
1.661192,1.314804,0.065094,0.5879,Standard Bayesian LASSO,Strong,10000,10
1.20948,0.92637,0.504407,0.7622,Proposed Prior,Strong,10000,10
